País,Localização,Página 1,Página 2,Página 3,Página 4,Página 5
Letônia,inferior à esquerda,1,1,2,0,0
Lituânia,inferior à esquerda,433,196,67,10,14
Luxemburgo,inferior à esquerda,2,1,1,0,3
Noruega,inferior à esquerda,20,3,0,0,0
Polônia,inferior à esquerda,13671,5060,2331,527,675
Reino Unido,inferior à esquerda,73,15,11,1,3
República Tcheca,inferior à esquerda,2029,729,187,4,2
Romênia,inferior à esquerda,11,9,4,0,0
Rússia,inferior à esquerda,5,2,2,0,1
San Marino,inferior à esquerda,1,0,0,0,0
Suécia,inferior à esquerda,15,4,4,0,0
Suíça,inferior à esquerda,20,4,0,0,0
Ucrânia,inferior à esquerda,6,1,0,0,0
Alemanha,inferior central,59,46,22,2,0
Áustria,inferior central,8,2,3,0,0
Bélgica,inferior central,16,25,15,2,0
Chipre,inferior central,1,0,0,0,0
Croácia,inferior central,2,0,0,0,0
Dinamarca,inferior central,10,6,4,0,0
Emirados Árabes Unidos,inferior central,0,1,0,0,0
Eslováquia,inferior central,52,40,8,2,0
Eslovênia,inferior central,2,0,0,0,0
Espanha,inferior central,2,0,2,0,0
USA,inferior central,16,14,1,0,0
Estônia,inferior central,8,8,0,0,0
Finlândia,inferior central,5,6,0,0,0
França,inferior central,8,5,3,0,0
Grécia,inferior central,0,2,0,0,0
Holanda,inferior central,19,6,5,1,0
Hungria,inferior central,2,0,0,2,0
Ilha Christmas,inferior central,1,0,0,0,0
Ilhas Virgens Britânicas,inferior central,1,0,0,0,0
Índia,inferior central,0,0,2,0,0
Irlanda,inferior central,57,26,27,3,0
Islândia,inferior central,4,1,2,0,0
Itália,inferior central,11,5,1,0,0
Letônia,inferior central,2,0,5,0,0
Lituânia,inferior central,383,230,107,13,0
Luxemburgo,inferior central,2,2,2,0,0
México,inferior central,1,0,0,0,0
Noruega,inferior central,16,2,1,0,0
Polônia,inferior central,12280,6840,3172,452,0
Portugal,inferior central,1,0,0,0,0
Reino Unido,inferior central,55,42,19,2,0
República Tcheca,inferior central,1513,982,419,2,0
Romênia,inferior central,16,18,0,1,0
Rússia,inferior central,4,4,1,2,0
San Marino,inferior central,1,0,0,0,0
Suécia,inferior central,12,3,4,1,0
Suíça,inferior central,14,2,9,0,0
Ucrânia,inferior central,1,2,0,0,0
Alemanha,superior à direita,56,34,9,11,6
Áustria,superior à direita,2,0,0,0,0
Bélgica,superior à direita,10,12,1,1,0
Croácia,superior à direita,2,0,0,0,0
Dinamarca,superior à direita,13,6,2,0,0
Eslováquia,superior à direita,47,25,23,0,1
Espanha,superior à direita,1,0,2,0,0
USA,superior à direita,8,6,3,1,3
Estônia,superior à direita,5,4,1,0,0
Finlândia,superior à direita,2,1,0,0,0
França,superior à direita,13,8,1,0,0
Grécia,superior à direita,0,4,0,0,0
Holanda,superior à direita,16,8,2,0,0
Hungria,superior à direita,1,0,0,0,1
Ilhas Cayman,superior à direita,1,0,0,0,0
Ilhas Faroé,superior à direita,2,0,0,0,0
Índia,superior à direita,0,2,0,0,0
Irlanda,superior à direita,71,27,8,9,5
Islândia,superior à direita,0,0,2,0,0
Itália,superior à direita,14,4,2,0,0
Letônia,superior à direita,22,0,0,0,0
Lituânia,superior à direita,290,125,74,22,13
Luxemburgo,superior à direita,5,2,2,2,0
Noruega,superior à direita,10,6,1,0,0
Polônia,superior à direita,9100,5377,1644,907,390
Portugal,superior à direita,1,0,0,0,0
Reino Unido,superior à direita,41,40,6,4,1
República Tcheca,superior à direita,1531,695,164,1,1
Romênia,superior à direita,6,8,1,0,0
Rússia,superior à direita,0,2,1,0,0
Suécia,superior à direita,16,4,6,4,0
Suíça,superior à direita,11,7,2,0,0
Ucrânia,superior à direita,2,2,0,0,0
Alemanha,superior à esquerda,110,31,19,17,3
Áustria,superior à esquerda,5,1,2,2,0
Bélgica,superior à esquerda,25,4,11,2,2
Croácia,superior à esquerda,2,0,0,0,0
Dinamarca,superior à esquerda,23,4,3,2,0
Eslováquia,superior à esquerda,78,47,28,15,1
Eslovênia,superior à esquerda,1,0,0,0,0
Espanha,superior à esquerda,2,0,0,0,0
USA,superior à esquerda,15,15,7,3,3
Estônia,superior à esquerda,8,11,2,0,0
Finlândia,superior à esquerda,3,2,0,1,0
França,superior à esquerda,8,10,1,2,1
Grécia,superior à esquerda,4,5,0,0,0
Holanda,superior à esquerda,23,14,7,5,1
Hungria,superior à esquerda,0,1,0,0,1
Ilha Christmas,superior à esquerda,0,1,0,0,0
Ilhas Cayman,superior à esquerda,1,0,0,0,0
Irlanda,superior à esquerda,105,29,21,23,3
Islândia,superior à esquerda,4,1,1,2,0
Itália,superior à esquerda,18,13,4,0,0
Letônia,superior à esquerda,6,0,0,0,0
Lituânia,superior à esquerda,420,174,91,87,13
Luxemburgo,superior à esquerda,15,3,2,5,2
Noruega,superior à esquerda,16,3,2,4,0
Polônia,superior à esquerda,15098,6066,3112,2887,609
Portugal,superior à esquerda,1,0,0,0,0
Reino Unido,superior à esquerda,90,35,15,18,3
República Tcheca,superior à esquerda,2116,859,407,463,4
Romênia,superior à esquerda,6,10,6,1,0
Rússia,superior à esquerda,4,1,3,0,0
Suécia,superior à esquerda,13,8,4,9,0
Suíça,superior à esquerda,14,5,10,3,0
Ucrânia,superior à esquerda,5,5,3,0,0
Alemanha,superior central,87,38,17,14,8
Áustria,superior central,8,1,3,1,0
Bélgica,superior central,16,12,12,2,3
Dinamarca,superior central,23,8,4,0,2
Eslováquia,superior central,69,35,25,13,1
Espanha,superior central,2,0,0,0,0
USA,superior central,15,11,6,0,3
Estônia,superior central,13,7,8,1,0
Finlândia,superior central,0,6,2,0,0
França,superior central,14,5,9,1,0
Grécia,superior central,3,0,0,0,0
Holanda,superior central,27,16,7,2,0
Hungria,superior central,0,1,1,0,1
Ilha Christmas,superior central,0,2,0,0,0
Ilhas Cayman,superior central,0,1,0,0,0
Índia,superior central,2,3,1,0,0
Irlanda,superior central,86,22,25,23,11
Islândia,superior central,1,0,2,1,0
Itália,superior central,28,3,3,0,0
Letônia,superior central,7,0,0,0,0
Lituânia,superior central,457,143,107,83,23
Luxemburgo,superior central,6,3,1,0,2
Noruega,superior central,23,10,3,2,0
Polônia,superior central,14623,5634,3976,1735,924
Portugal,superior central,1,0,0,0,0
Reino Unido,superior central,55,41,25,11,7
República Tcheca,superior central,2045,824,610,102,6
Romênia,superior central,10,16,2,2,0
Rússia,superior central,7,0,4,0,2
Suécia,superior central,11,6,11,4,3
Suíça,superior central,10,2,5,2,1
Ucrânia,superior central,1,3,0,0,0
